"","UGT71C5_pwg","UGT71C5_t.statistic","UGT71C4_pwg","UGT71C4_t.statistic","UGT71C3_pwg","UGT71C3_t.statistic","AT1G50580_pwg","AT1G50580_t.statistic","AT1G64910_pwg","AT1G64910_t.statistic","AT1G64920_pwg","AT1G64920_t.statistic","AT2G18560_pwg","AT2G18560_t.statistic","AT2G18570_pwg","AT2G18570_t.statistic","AT2G22590_pwg","AT2G22590_t.statistic","AT2G22930_pwg","AT2G22930_t.statistic","MAX1_pwg","MAX1_t.statistic","AT2G29710_pwg","AT2G29710_t.statistic","UGT71D1_pwg","UGT71D1_t.statistic","UGT71C2_pwg","UGT71C2_t.statistic","UGT71C1_pwg","UGT71C1_t.statistic","AT2G38240_pwg","AT2G38240_t.statistic","AT2G38240_pwg","AT2G38240_t.statistic","AT3G11180_pwg","AT3G11180_t.statistic","UGT71B1_pwg","UGT71B1_t.statistic","HYR1_pwg","HYR1_t.statistic","UGT71B6_pwg","UGT71B6_t.statistic","AT3G21790_pwg","AT3G21790_t.statistic","UGT71B8_pwg","UGT71B8_t.statistic","AT3G29630_pwg","AT3G29630_t.statistic","UGT72E1_pwg","UGT72E1_t.statistic","TT6_pwg","TT6_t.statistic","TT5_pwg","TT5_t.statistic","JRG21_pwg","JRG21_t.statistic","AT4G09500_pwg","AT4G09500_t.statistic","AT4G15260_pwg","AT4G15260_t.statistic","AT4G16330_pwg","AT4G16330_t.statistic","AT4G22870_pwg","AT4G22870_t.statistic","TT18_pwg","TT18_t.statistic","AT4G27560_pwg","AT4G27560_t.statistic","AT4G27570_pwg","AT4G27570_t.statistic","AT4G36770_pwg","AT4G36770_t.statistic","AT5G05600_pwg","AT5G05600_t.statistic","FLS1_pwg","FLS1_t.statistic","AT5G12270_pwg","AT5G12270_t.statistic","TT4_pwg","TT4_t.statistic","UGT78D3_pwg","UGT78D3_t.statistic","AT5G17040_pwg","AT5G17040_t.statistic","UGT78D2_pwg","UGT78D2_t.statistic","UGT72E3_pwg","UGT72E3_t.statistic","TT3_pwg","TT3_t.statistic","AT5G49690_pwg","AT5G49690_t.statistic","AT5G53990_pwg","AT5G53990_t.statistic","AT5G54010_pwg","AT5G54010_t.statistic","UF3GT_pwg","UF3GT_t.statistic","AT5G65550_pwg","AT5G65550_t.statistic","UGT72E2_pwg","UGT72E2_t.statistic"
"KAN1","KAN1",122.575813731512,"ADAP",702.039124997553,"HSFA1A",79.2173776396843,"bHLH093",70.2943820205,"KAN1",379.442795864737,"ORE14",30.6483592066275,"TGA9",42.2458366634211,"TGA9",42.2458366634211,"PS1",36.7727008885747,"ADAP",196.285688175336,"KAN1",108.363764514855,"IAA12",47.9409141933423,"IAA12",47.9409141933423,"bHLH093",45.8718321490689,"KAN1",192.453275801555,"HSFA1A",76.5696657926813,"ADAP",160.074510851752,"HSFA1A",82.4044995901196,"MYB77",168.209326458027,"ADAP",224.502114908762,"ORE14",83.4833130972206,"ADAP",109.686449720093,"ZHD3",57.321679280297,"MYB77",82.7393817107125,"HSFA1A",158.394179382901,"MYB77",73.9864954701274,"ORE14",65.457605202796,"ADAP",153.334291686453,"bHLH093",69.1707232383562,"bHLH093",150.416265083136,"HSFA1A",72.4677420536618,"IAA12",62.9864349749768,"IAA12",62.9864349749768,"ADAP",167.87133949538,"ADAP",167.87133949538,"HSFA1A",87.862009155291,"ADAP",191.797798473813,"KAN1",74.0932691249514,"TGA9",32.077952411468,"ADAP",120.76559934988,"KAN1",86.5839011326958,"KAN1",106.090731072847,"ADAP",122.961385412613,"MYB77",87.0960312396854,"TLP2",76.592632586932,"ADAP",179.152672428277,"ADAP",162.212968200447,"MYB39",50.4760889896561,"JAG",47.8173747090042,"IAA12",34.8726245293928,"MYB77",75.1548234804497
"HSFA1A","HSFA1A",81.2411676596886,"IAA30",46.1110723270047,"SRS6",70.8578341137774,"ORE14",58.7690336321368,"RAP2.3",41.5802926137427,"MYB39",24.0255098467909,"PS1",41.6891746596244,"PS1",41.6891746596244,"EGL3",30.1221435652641,"IAA12",82.947534344503,"TGA9",43.9842454357077,"TLP2",46.0848681991627,"TLP2",46.0848681991627,"TGA9",40.1186616390485,"IAA30",54.8234427298505,"IAA12",37.7743092694655,"bHLH093",78.9610054881495,"PS1",39.6722863815601,"ADAP",160.271944027763,"MYB77",102.044278984047,"bHLH093",68.69444062296,"ORE14",102.192655700234,"NAC001",0,"RAP2.3",81.3826592029443,"KAN1",137.097523994897,"TIFY9",33.6178012423729,"SRS6",59.3041277523922,"PS1",50.6040370703662,"TLP2",53.6902886893861,"ORE14",73.5406558903436,"PS1",44.9844983883586,"MYB77",57.8672987376581,"MYB77",57.8672987376581,"HSFA1A",85.9319351217255,"HSFA1A",85.9319351217255,"RAP2.3",42.211914263565,"PS1",57.4024781231482,"bHLH093",68.194816390007,"MYB39",21.4291157932476,"MYB77",60.7902742004231,"SRS6",45.2871788423913,"STOP1",38.7111506737541,"PS1",37.5217796247891,"PS1",66.1817612053551,"IAA12",65.4214992679426,"TGA9",30.4070555422446,"RVE8",28.9082012293627,"PS1",34.2434164493686,"PS1",36.8857760068006,"TIFY9",27.3140206720212,"MYB0",60.2543861426292
"PS1","PS1",46.3016974466211,"ZHD3",41.2109453574961,"bHLH093",60.0618116688547,"PS1",52.3618271109067,"IDD2",37.9381456006915,"PAP2",23.9839140126392,"TLP2",40.4190516651234,"TLP2",40.4190516651234,"IAA2",29.6467711870137,"MYB77",70.6986649483454,"PS1",39.5518080854808,"UNE16",39.1047291519255,"UNE16",39.1047291519255,"HYH",25.3741455436322,"RAP2.3",34.327752823907,"TIFY9",36.8465610485506,"ZHD3",52.5618252649757,"SIAA1",26.382960275779,"KAN1",81.9191743209814,"KAN1",88.4228727575154,"ZHD3",48.2719505480782,"SRS6",76.1117140932844,"NGA3",0,"IAA12",54.1732405900146,"NFD5",50.775066667542,"MYB0",29.8892771292669,"MYB77",58.2842842842151,"RAP2.3",32.3810368450106,"AL5",52.4326259655307,"PS1",46.6332008118725,"AT5G66940",37.1429116701531,"SIAA1",31.4415805634323,"SIAA1",31.4415805634323,"TIFY9",31.1318209427691,"TIFY9",31.1318209427691,"PS1",41.6996679633161,"IAA30",40.0272050194019,"ORE14",65.9748131916805,"NAC001",0,"bHLH093",52.6526419909074,"IDD2",22.3812165562302,"IDD2",25.9861787369361,"STY2",36.1317304629775,"IAA12",50.3131348370579,"MYB77",64.9795165321046,"SIAA1",27.5548343425548,"NAC001",0,"NAC001",0,"MYB0",36.5250305397791,"AT1G68520",21.5861748674867,"PAN",40.8405780237214
"IAA30","IAA30",37.7984509506426,"PS1",41.0998906746321,"IAA12",59.3087877979166,"AL5",41.3197517151188,"STOP1",30.8179893389364,"TIFY9",17.672908641342,"AT5G66940",36.7765082162436,"AT5G66940",36.7765082162436,"NAC001",0,"RAP2.3",48.5339409699561,"AT5G66940",32.1834860834154,"PAP2",33.3663527617266,"PAP2",33.3663527617266,"STOP1",20.915507474279,"EGL3",33.5511465707436,"IAA7",34.0351100482049,"PS1",45.2190484712162,"TIFY9",21.4639639195459,"SRS6",43.0954964179529,"bHLH093",39.665140633275,"IAA30",45.9873766096174,"bHLH093",72.0677823196615,"LHY1",0,"IAA2",38.8210811291411,"PS1",42.1415779583147,"JAG",28.5747697234497,"bHLH093",51.8477933167798,"STOP1",27.7744097576716,"ORE14",34.5649748910593,"ZHD3",44.2429595766249,"RAP2.3",36.7931367670484,"CCA1",28.8886577106379,"CCA1",28.8886577106379,"SIAA1",26.6765560752515,"SIAA1",26.6765560752515,"JAG",35.9018505490889,"TIFY9",38.7929843983241,"MYB39",51.2567723746873,"NGA3",0,"ORE14",45.2331206561493,"NAC001",0,"AT2G18300",14.2091179021204,"MYB0",29.5748945451563,"MYB0",43.2460552027656,"JAG",54.677238363472,"IAA2",26.9611340634947,"NGA3",0,"NGA3",0,"SIAA1",29.415478588926,"NAC001",0,"TGA9",39.3226075075121
"ZHD3","ZHD3",36.4434629842736,"ORE14",38.0154798620547,"PS1",46.9057665837355,"TIFY9",35.1895897905175,"NAC001",0,"RVE1",17.6106462467057,"CCA1",34.2969438899555,"CCA1",34.2969438899555,"NGA3",0,"PS1",37.5302005663979,"HDG11",24.8320467818032,"ORE14",27.7671842199489,"ORE14",27.7671842199489,"IAA2",20.338570691154,"Rap2.6L",30.5741760607376,"IAA2",33.9968955430618,"IAA30",39.6042650951761,"AT1G68520",20.7861616737186,"TGA9",36.8148028782928,"TGA9",39.3108745698956,"PS1",40.2856656804674,"UNE16",46.7770424809205,"GIF2",0,"ORE14",36.2264951271043,"ZHD3",35.629897151829,"TT8",27.5491828680046,"TGA9",37.8479362625493,"SIAA1",24.9938342568521,"SIAA1",30.5144526901363,"IAA7",38.6172035365786,"IAA30",34.4520275310933,"Rap2.6L",27.080146962702,"Rap2.6L",27.080146962702,"GT2",24.2764725738007,"GT2",24.2764725738007,"MYB0",34.8680021688813,"ZHD3",36.4357259609948,"SRS6",48.0178174410008,"LHY1",0,"TGA9",32.1041195183621,"NGA3",0,"NAC001",0,"SIAA1",28.8477602875699,"TGA9",40.3088150482707,"PAN",35.5537345672609,"IAA12",26.0327618257802,"LHY1",0,"LHY1",0,"PAN",26.5507555474304,"NGA3",0,"IAA12",30.5357452002615
"PAP2","PAP2",33.9785227212761,"PAP2",32.5744956931939,"JAG",37.8433936444322,"COL2",35.056647705784,"NGA3",0,"AT1G68520",14.6810065141521,"LHY1",31.2897859757497,"LHY1",31.2897859757497,"LHY1",0,"ZHD3",33.532375479886,"RVE1",24.3223714589084,"JAG",25.5850689729019,"JAG",25.5850689729019,"SIAA1",20.0930115730785,"PAP2",28.0267304266199,"MYB0",32.9007587144073,"ASG4",36.5181929929415,"NAC001",0,"IAA12",32.1583324119446,"IAA12",38.9097322332781,"RVE1",38.4429949734294,"PS1",44.5670455820183,"AT1G01250",0,"TIFY9",31.2564885663281,"STY2",35.0933014702474,"RAP2.3",27.2483606876421,"ZHD3",31.0539294117714,"Rap2.6L",22.1765637779163,"AT5G66940",30.433810864015,"RVE1",36.7656351396522,"JAG",33.2822307729891,"TIFY9",26.41839607125,"TIFY9",26.41839607125,"STOP1",24.1246647878781,"STOP1",24.1246647878781,"PAN",29.9420545568545,"ORE14",35.0644807500959,"PS1",44.7217470957703,"GIF2",0,"Rap2.6L",29.114234059329,"LHY1",0,"NGA3",0,"JAG",26.7026305721971,"TIFY9",34.4838533654604,"SIAA1",31.6356840755203,"Rap2.6L",24.6041179159578,"GIF2",0,"GIF2",0,"CCA1",26.5060945809566,"LHY1",0,"IAA2",27.6812247848021
"AT5G66940","AT5G66940",33.2483728730004,"STY2",28.6797765536569,"AT5G66940",36.6809359150996,"IAA7",32.9140751692192,"LHY1",0,"ASG4",13.6866378128441,"JAG",29.38183572092,"JAG",29.38183572092,"GIF2",0,"IAA30",33.3987132236368,"ASG4",24.1128861079671,"HYH",22.9876498911389,"HYH",22.9876498911389,"Rap2.6L",17.0420548333921,"STOP1",25.4308793590613,"JAG",28.3590060204774,"IAA12",34.8352131226132,"NGA3",0,"IAA2",29.1190847388679,"TIFY9",35.6152707024091,"TGA9",36.9576747511668,"TGA9",39.7303765974776,"AT1G01260",0,"MYB39",28.8931325522556,"IAA30",35.0422012394379,"CCA1",26.4168985364853,"UNE16",28.2803947099414,"COL1",19.3602256134503,"TIFY9",29.6684931101934,"IAA2",32.1886189414651,"PAP2",32.7110420392533,"TT8",25.3792522543529,"TT8",25.3792522543529,"HDG11",23.5611729924867,"HDG11",23.5611729924867,"STOP1",29.2149472133708,"IAA2",34.6150701008348,"ZHD3",36.0558544019568,"AT1G01250",0,"PAN",28.9367303772055,"GIF2",0,"LHY1",0,"PAP2",25.9949229423911,"IAA2",32.3991371603953,"CCA1",31.0684754901418,"STOP1",24.0129227866997,"AT1G01250",0,"AT1G01250",0,"PAP2",24.8786703993397,"GIF2",0,"HDG11",26.7678839379987
"JAG","JAG",31.1321374513081,"MYB0",27.9120731640074,"MYB0",33.758241646414,"IAA2",31.7591741877779,"GIF2",0,"NAC001",0,"RAP2.3",26.9880698116853,"RAP2.3",26.9880698116853,"AT1G01250",0,"RVE8",28.604282337988,"IDD2",23.4482207567589,"AT1G68520",22.8757601826777,"AT1G68520",22.8757601826777,"IAA7",16.3768073771343,"NAC001",0,"AL5",25.4711443085587,"PAP2",34.5050566519817,"LHY1",0,"PS1",28.6307750112077,"HYH",34.8828155942656,"AT2G18300",35.3237402563742,"AT5G66940",35.4051538912741,"AT1G01350",0,"AT1G68520",22.8904836199652,"TGA9",32.806114117325,"SIAA1",26.1000146941869,"RAP2.3",28.031556996346,"AT1G68520",19.2123570998126,"RVE1",28.318693259461,"MYB39",30.6938585675873,"STOP1",31.5385617629112,"AL5",24.4977801417966,"AL5",24.4977801417966,"Rap2.6L",23.1020017229667,"Rap2.6L",23.1020017229667,"STY2",28.2572410319951,"MYB0",33.1620164467845,"TGA9",35.482201765875,"AT1G01260",0,"JAG",27.9894181188473,"AT1G01250",0,"GIF2",0,"IAA12",25.0470875448951,"EGL3",27.5898052081125,"Rap2.6L",29.1500454502889,"HDG11",24.0032383533177,"AT1G01260",0,"AT1G01260",0,"Rap2.6L",24.8370126585714,"AT1G01250",0,"Rap2.6L",22.8002305913873
"MYB0","MYB0",30.9949008806818,"JAG",26.9262981502279,"RAP2.3",33.4612055902022,"EGL3",30.3522291269984,"AT1G01250",0,"NGA3",0,"PAP2",26.7003607493636,"PAP2",26.7003607493636,"AT1G01260",0,"AT2G18300",26.9352434457943,"HDG12",23.3732941681237,"HDG11",21.0835570316689,"HDG11",21.0835570316689,"NAC001",0,"NGA3",0,"COL1",25.2670899779668,"IAA2",33.8388872086397,"GIF2",0,"AT5G66940",27.2736773042521,"AT5G66940",34.1670805040577,"COL2",34.6065357886359,"ZHD3",33.943825759746,"ETC1",0,"NAC001",0,"RAP2.3",32.1486902648601,"IDD2",25.6064542189573,"PS1",26.3418204716274,"HDG12",16.5123280501913,"TT8",26.5971600607612,"STOP1",29.5176998218327,"ZHD3",30.2792413448841,"PAP2",23.0617370631274,"PAP2",23.0617370631274,"RVE1",22.4681590521646,"RVE1",22.4681590521646,"Rap2.6L",28.2019606400895,"HYH",30.8476413400142,"Rap2.6L",33.9570666991157,"AT1G01350",0,"PS1",27.8594449788511,"AT1G01260",0,"AT1G01250",0,"ASG4",24.9286588995769,"NAC001",0,"AL5",26.4997978050322,"HDG12",23.5786910326805,"AT1G01350",0,"AT1G01350",0,"TT8",24.3953985826931,"AT1G01260",0,"HYH",22.2195399235924
"NFD5","NFD5",30.1638930814499,"IAA2",25.2921989900588,"ZHD3",32.7691317431169,"NAC001",0,"AT1G01260",0,"LHY1",0,"MYB0",25.2823004140122,"MYB0",25.2823004140122,"AT1G01350",0,"SIAA1",25.7035743380775,"COL1",22.6854364782243,"AT2G18300",17.8918509744647,"AT2G18300",17.8918509744647,"NGA3",0,"LHY1",0,"AT1G68520",23.9926179548189,"AL5",33.8208112261993,"AT1G01250",0,"TIFY9",25.5356409398769,"MYB39",32.9030356186868,"IAA7",34.3883633614426,"JAG",33.7332673008059,"ASG4",0,"NGA3",0,"MYB0",29.4279034294101,"LHY1",24.69169078604,"PAP2",25.699495681274,"PAN",15.3321465204818,"PS1",17.1458170386683,"Rap2.6L",28.8668699647955,"MYB0",27.1799157742723,"RAP2.3",21.8207550777476,"RAP2.3",21.8207550777476,"COL2",22.2204527120244,"COL2",22.2204527120244,"AT1G68520",23.8424706521442,"JAG",29.4007155007086,"IDD2",32.0709901973546,"ETC1",0,"SIAA1",27.3116074606185,"AT1G01350",0,"AT1G01260",0,"IDD2",24.0417233407722,"NGA3",0,"TT8",26.2116314763412,"NAC001",0,"ETC1",0,"ETC1",0,"AL5",21.9809509790193,"AT1G01350",0,"STOP1",19.07780709025
