"","CCR1_pwg","CCR1_coeff","CCR1_pwg","CCR1_coeff","4CL1_pwg","4CL1_coeff","CSE_pwg","CSE_coeff","4CL3_pwg","4CL3_coeff","CAD1_pwg","CAD1_coeff","CCR2_pwg","CCR2_coeff","HCT_pwg","HCT_coeff","CAD2_pwg","CAD2_coeff","CAD3_pwg","CAD3_coeff","C4H_pwg","C4H_coeff","PAL1_pwg","PAL1_coeff","C3H_pwg","C3H_coeff","PAL4_pwg","PAL4_coeff","CAD4_pwg","CAD4_coeff","4CL5_pwg","4CL5_coeff","4CL2_pwg","4CL2_coeff","PAL2_pwg","PAL2_coeff","CCoAOMT1_pwg","CCoAOMT1_coeff","CAD5_pwg","CAD5_coeff","F5H_pwg","F5H_coeff","CAD6_pwg","CAD6_coeff","CAD7_pwg","CAD7_coeff","CAD8_pwg","CAD8_coeff","CAD9_pwg","CAD9_coeff","PAL3_pwg","PAL3_coeff","COMT1_pwg","COMT1_coeff"
"MYB46","MYB46",95.8583130312839,"GPRI1",56.2469420708079,"SND1",118.869770210925,"SND2",97.3269321866064,"PDF2",98.7642723419005,"NAC001",44.5744821869367,"ZBF1",73.3408219876706,"HB20",37.3918896468884,"AT4G00940",83.113893836146,"AT4G00940",83.113893836146,"NST2",106.945300743222,"NST2",108.543813758809,"NST2",109.745665361923,"MYB46",137.425392479714,"SND1",89.5345910862489,"SND2",82.7073405506749,"SCRM2",85.1788273565229,"NST2",75.5396529424216,"NST2",113.743811029456,"MYB46",138.457998552392,"SND1",62.9928877461621,"UNE12",84.846040390002,"AT5G54630",135.921879708611,"SCRM2",50.8287997954695,"ATML1",120.161850880175,"EEL",76.6148943357428,"SND2",124.975358591379
"SND2","SND2",93.9643521557382,"ZFP8",54.7755607829575,"SND2",116.598915586785,"NST2",96.3566760084522,"ATML1",93.4478109962455,"GPRI1",38.3951782258205,"HSFB1",67.3573393792223,"WRKY48",35.2380982212437,"HAT1",80.4227636142977,"HAT1",80.4227636142977,"SND2",105.929444148511,"LBD15",106.5434170658,"LBD15",106.282038527828,"SND2",135.218891544917,"SND2",87.9006337027578,"MYB63",79.2872374677514,"HSFB1",83.5650624177337,"MYB85",69.743948908832,"LBD15",108.701436834092,"SND2",133.508653026195,"SND2",58.8032881916671,"AT4G00940",79.8537596778023,"AT5G14260",128.619383729551,"YAB1",50.223800358799,"AT2G18300",103.041466592567,"AT4G12240",67.3788536456019,"MYB46",124.101568461088
"SND1","SND1",91.1472017756465,"ZFP3",45.1186995012594,"NST2",111.719234410828,"SND1",95.4067545745538,"WAM1",85.6986985374974,"WOX6",37.3971674149131,"ANL2",66.8819690706295,"ERF6",34.7944751551304,"SCRM",79.7573322182367,"SCRM",79.7573322182367,"SND1",104.470690440301,"SND2",95.4793460623016,"SND1",97.0707829683989,"SND1",132.179964280084,"GATA12",85.7291399846339,"LBD15",79.2326402447113,"MYB16",78.5746088281102,"LBD15",67.5412808420044,"MYB46",106.299928255581,"SND1",131.77440054731,"MYB46",58.0229273878589,"SCRM",79.5737419688001,"MYB60",126.776272431799,"AT4G17810",47.047392178976,"PDF2",96.3139479434109,"SCRM",65.6709134904809,"SND1",123.70582720641
"MYB58","MYB58",83.9543285920824,"TGA2",44.8288778190247,"MYB46",109.961845079007,"LBD15",86.0173924909304,"AT4G31420",76.928541706968,"DDL",37.1893144349543,"ATML1",64.4143938520286,"SAW2",33.7665839184637,"ARF17",78.8284145375681,"ARF17",78.8284145375681,"LBD15",103.934424969334,"SND1",95.3731517172309,"SND2",95.8424249540775,"MYB58",129.186285339288,"MYB58",82.5761672053322,"MYB85",78.0575110874305,"MYB46",75.992221239093,"SND1",66.6959801074239,"SND2",101.415637653834,"MYB63",130.199779679638,"MYB85",56.4928766912153,"AT5G14260",72.3862285946212,"KNAT6S",122.724443487923,"YAB5",45.8455547003133,"BEE2",86.0383773230036,"CIA2",65.1035018256256,"MYB58",111.032316451588
"LBD15","LBD15",81.8292424957379,"BEH1",42.9158285688421,"LBD15",109.864972197805,"MYB46",84.6240778600367,"WLIM2b",73.8242219008731,"TGA5",35.6417658041654,"ZF2",63.8119375924193,"ZHD9",32.9924129735974,"IDD5",70.0544780737505,"IDD5",70.0544780737505,"MYB46",99.9281505304652,"MYB46",93.0711396075202,"MYB46",93.9230381746772,"NST2",127.027016230939,"LBD15",80.9920527714385,"SND1",77.7997555388672,"AGL87",75.3301288795382,"SND2",65.2316706398945,"SND1",97.3857227160616,"ATML1",126.138533638488,"ETT",53.9516079124907,"AGL87",70.9615787359755,"MYB16",119.736881335615,"AT1G14580",44.5932634233288,"AT2G36930",81.4877162932104,"NAC001",62.919893028736,"MYB63",107.79964721692
"GATA12","GATA12",80.9960240920167,"AT4G00940",41.7741081531577,"MYB85",108.896488044203,"MYB58",84.2856889178324,"GIF3",73.7371849166569,"MYB119",33.5105578742057,"TIFY10B",63.6016689436042,"ZFAR1",32.4854961664859,"HB-8",67.2941663475282,"HB-8",67.2941663475282,"GATA12",91.208935261882,"GATA12",87.7129338237704,"MYB58",91.6235329430378,"LBD15",125.660696830892,"ETT",77.4501887530791,"NST2",76.8537520843174,"GATA12",73.815672591806,"MYB58",60.022804194381,"MYB58",92.1679760553274,"LBD15",119.810537525802,"MYB55",50.1451026836115,"SGR1",69.1305168474844,"CIA2",108.914869748102,"ELF6",44.5641741084403,"NF-YA8",78.9004177288872,"AT3G10030",60.400659246927,"LBD15",102.58426190657
"AT1G66810","AT1G66810",79.0280282011391,"AT1G68520",41.7417136539868,"MYB58",102.562527622602,"GATA12",78.1708169089389,"AT1G66810",69.0908108450391,"bZIP68",33.0893220610195,"HDG2",63.0611350856342,"AT5G52020",31.6314588966463,"EIL1",66.0022034609237,"EIL1",66.0022034609237,"MYB85",87.1017527647166,"MYB58",86.393702639007,"GATA12",90.9411219429977,"MYB63",118.77835855186,"MYB46",76.6980467929266,"MYB46",76.2088583131902,"SND2",68.8566254799386,"MYB63",58.2788348678508,"MYB85",88.4269999411393,"SND3",118.638175472258,"VND4",50.1261812803995,"MYB60",67.349372571453,"PAP1",105.738904520909,"KNAT1",43.5882086803999,"AT1G49010",78.2293505557823,"AGL21",59.4277982515666,"GATA12",100.326115058099
"NST2","NST2",77.8251521657183,"AT1G68200",41.511697731355,"MYB63",98.9980429802621,"SCRM2",73.6166517751452,"AT4G24060",66.6440676655456,"AT2G36930",31.6255246521778,"GPRI1",62.4513495590521,"AT1G64380",28.6198587489668,"UNE12",64.263088134386,"UNE12",64.263088134386,"MYB58",86.4901667509946,"MYB85",85.1686744907205,"MYB85",81.9432803062522,"SND3",114.186620410593,"MYB63",75.9854475513777,"SND3",73.2164412446691,"MYB63",65.7667952357306,"SND3",55.8494571547314,"MYB63",88.0984935231363,"MYB58",117.235711130086,"MYB63",50.0047863789057,"IAA13",65.2978150865482,"SCRM2",105.69528024308,"bHLH071",42.9831469661009,"SCL21",77.8169065729284,"MYB55",58.5226092370448,"SND3",99.6052280720806
"MYB63","MYB63",70.6776448466201,"BEE2",41.2324289865589,"SND3",93.3409505468297,"SCRM",71.9977793399668,"GL2",66.3446773767753,"AT1G49010",31.2007975910574,"AT2G21530",62.123696586681,"SUVR1",28.5860464018958,"SGR1",63.027658460007,"SGR1",63.027658460007,"MYB63",85.1228663048141,"MYB63",85.0922925393442,"MYB63",81.6780935439587,"MYB85",111.602192840409,"MYB85",75.5788520010999,"MYB58",69.8494830013206,"LBD15",65.0067776714353,"GATA12",53.9982245251069,"GATA12",85.0822479443647,"HSFB1",112.242317020347,"LBD15",49.8211676963953,"IDD5",64.1099314281835,"YAB5",105.422049278894,"ZFP8",41.3492499317888,"AT2G21530",77.1237427847676,"DDL",58.1444622767163,"NST2",99.594420388758
"SND3","SND3",70.5324815851556,"AT1G14580",41.1535348188909,"GATA12",91.9756018699846,"AT3G16280",71.3395695937588,"KNAT2",65.4905331225032,"ZFN3",30.4437473397777,"DA1",60.8051179936333,"WOX6",27.5664171679712,"TGA6",59.9576673298293,"TGA6",59.9576673298293,"SND3",81.744232085464,"SND3",75.2070951657625,"SND3",75.1622435532722,"GATA12",102.247478878272,"NST2",71.0473494835292,"HSFB1",67.5780954625782,"AT5G14260",63.9041930313524,"MYB46",53.8942003750426,"SND3",81.3639826916355,"NST2",110.603295100813,"MYB58",49.4877728729792,"MYB46",63.5996970881821,"AT4G31420",104.836495363306,"NTL9",40.1204158941964,"AT5G16470",77.0337702972249,"GBF3",57.4433703954501,"MYB85",93.7603308398591
